x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
-0.1476,-0.00399936,0,0,30.4925,2.31204,60.6562,7.74996,90.0021,17.4906,
-0.1496,-0.00399935,0,0,30.4908,2.33661,60.6488,7.80891,89.9788,17.5985,
-0.1516,-0.00499918,0,0,30.4882,2.37307,60.6373,7.89759,89.9435,17.7614,
-0.1535,-0.00499917,0,0,30.4865,2.3965,60.6297,7.95632,89.9197,17.8703,
-0.1556,-0.00499916,0,0,30.4847,2.42037,60.6219,8.01594,89.8955,17.9808,
-0.1576,-0.00599898,0,0,30.482,2.45578,60.61,8.10562,89.8588,18.1477,
-0.1595,-0.00599897,0,0,30.4801,2.47849,60.6019,8.16499,89.8339,18.2591,
-0.1615,-0.00699878,0,0,30.4775,2.5122,60.5898,8.25434,89.7964,18.4276,
-0.1634,-0.00699876,0,0,30.4756,2.53378,60.5817,8.31349,89.771,18.5402,
-0.1654,-0.00799857,0,0,30.4729,2.56578,60.5693,8.4025,89.7325,18.7103,
-0.1674,-0.00799855,0,0,30.471,2.58623,60.5609,8.46142,89.7065,18.8239,
-0.1694,-0.00799854,0,0,30.4691,2.60711,60.5524,8.52124,89.6802,18.9391,
-0.1713,-0.00899834,0,0,30.4662,2.63804,60.5396,8.61123,89.6403,19.1131,
-0.1733,-0.00899832,0,0,30.4644,2.6578,60.531,8.67084,89.6135,19.2293,
-0.1753,-0.00999811,0,0,30.4614,2.68703,60.5179,8.76049,89.5727,19.4049,
-0.1773,-0.00999809,0,0,30.4594,2.70563,60.509,8.81984,89.5451,19.5222,
-0.1793,-0.00999807,0,0,30.4575,2.72467,60.5001,8.88011,89.5174,19.6411,
-0.1812,-0.0109979,0,0,30.4545,2.75284,60.4865,8.97075,89.4752,19.8206,
-0.1832,-0.0109978,0,0,30.4525,2.77075,60.4774,9.03078,89.4468,19.9405,
-0.1853,-0.0109978,0,0,30.4505,2.78909,60.4682,9.09171,89.4181,20.062,
-0.1873,-0.0119976,0,0,30.4475,2.81622,60.4543,9.18338,89.3746,20.2454,
-0.1892,-0.0119976,0,0,30.4454,2.83342,60.4449,9.24408,89.3453,20.368,
-0.1912,-0.0129973,0,0,30.4423,2.85884,60.4307,9.3354,89.3009,20.553,
-0.1932,-0.0129973,0,0,30.4402,2.8749,60.4211,9.39587,89.271,20.6766,
-0.1951,-0.0139971,0,0,30.437,2.89861,60.4065,9.48683,89.2256,20.8632,
-0.1971,-0.013997,0,0,30.4349,2.91353,60.3967,9.54706,89.1951,20.9879,
-0.1991,-0.013997,0,0,30.4328,2.9289,60.3869,9.60822,89.1643,21.1141,
-0.201,-0.0149968,0,0,30.4295,2.95154,60.3719,9.70016,89.1176,21.3046,
-0.2031,-0.0149967,0,0,30.4273,2.96576,60.3618,9.76106,89.0862,21.4319,
-0.205,-0.0149967,0,0,31.037,3.12676,60.2768,9.83772,88.9725,21.5974,
-0.2069,-0.0149967,0,0,30.5432,3.07843,59.7829,9.78938,88.483,21.5357,
-0.2089,-0.0149967,0,0,30.5334,3.1421,59.7731,9.85305,88.4511,21.6677,
-0.2109,-0.0159964,0,0,30.5186,3.2379,59.7584,9.94882,88.403,21.867,
-0.2128,-0.0159964,0,0,30.5087,3.30131,60.709,10.3885,88.3707,22.0001,
-0.2147,-0.0159963,0,0,30.4938,3.39679,60.6601,10.5895,88.3219,22.2011,
-0.2167,-0.0159963,0,0,30.4837,3.46195,60.6272,10.7256,88.2889,22.3372,
-0.2187,-0.0159963,0,0,30.4686,3.56002,60.5774,10.9311,88.2392,22.5427,
-0.2206,-0.016996,0,0,30.4584,3.62589,60.544,11.0691,88.1521,22.6555,
-0.2225,-0.0179957,0,0,30.4482,3.69064,60.5103,11.2067,88.1202,22.789,
-0.2244,-0.0179957,0,0,30.4331,3.78667,60.4597,11.413,88.0721,22.9892,
-0.2262,-0.0189954,0,0,30.423,3.85118,60.4257,11.5517,88.0398,23.1237,
-0.2282,-0.0189954,0,0,30.4078,3.94683,60.3744,11.7595,87.9911,23.3253,
-0.2301,-0.0199951,0,0,30.3976,4.01108,60.3399,11.8991,87.9584,23.4607,
-0.232,-0.0209948,0,0,30.3875,4.07423,60.3054,12.0383,87.9255,23.5957,
-0.2339,-0.0209948,0,0,30.3724,4.16786,60.2532,12.2471,87.8761,23.798,
-0.235901,-0.0219945,0,0,30.3623,4.23078,60.2182,12.3873,87.8429,23.9339,
-0.237601,-0.0219945,0,0,30.3472,4.32399,60.1654,12.5975,87.7927,24.1376,
-0.239601,-0.0229942,0,0,30.3371,4.38663,60.13,12.7387,87.7592,24.2744,
-0.241501,-0.0239939,0,0,30.3271,4.44817,60.0945,12.8795,87.7255,24.4108,
-0.243401,-0.0239938,0,0,30.3121,4.53933,60.0409,13.0905,87.6746,24.6152,
-0.245301,-0.0249935,0,0,30.302,4.60059,60.0049,13.2323,87.6405,24.7524,
-0.247101,-0.0249935,0,0,30.2869,4.69132,59.9506,13.4448,87.589,24.9581,
-0.249001,-0.0259932,0,0,30.2768,4.7523,59.9142,13.5875,87.5545,25.0963,
-0.250901,-0.0269929,0,0,30.2668,4.81218,59.8777,13.7298,87.5199,25.234,
-0.252801,-0.0279925,0,0,30.2521,4.89987,59.8228,13.9421,87.4679,25.4393,
-0.254701,-0.0289922,0,0,30.2423,4.95751,59.7861,14.0835,87.4331,25.576,
-0.256601,-0.0289922,0,0,30.2276,5.04282,59.7306,14.2954,87.3805,25.7808,
-0.258501,-0.0299918,0,0,30.2178,5.10019,59.6935,14.4377,87.3454,25.9184,
-0.260301,-0.0299918,0,0,30.2032,5.1851,59.6375,14.651,87.2923,26.1246,
-0.262201,-0.0309915,0,0,30.1932,5.24214,59.5998,14.7943,87.2566,26.263,
-0.264101,-0.0319911,0,0,30.1835,5.29813,59.5621,14.9371,87.221,26.4011,
-0.266001,-0.0319911,0,0,30.169,5.38093,59.5053,15.1512,87.1671,26.6078,
-0.267801,-0.0329907,0,0,30.1592,5.43659,59.4671,15.295,87.131,26.7467,
-0.269601,-0.0339904,0,0,30.1495,5.49113,59.4289,15.4383,87.0949,26.885,
-0.271601,-0.0349901,0,0,30.1352,5.57081,59.3714,15.6521,87.0405,27.0913,
-0.273401,-0.0359897,0,0,30.1257,5.62309,59.3329,15.7944,87.004,27.2286,
-0.275301,-0.0369894,0,0,30.1117,5.69939,59.2751,16.0067,86.9494,27.4333,
-0.277102,-0.037989,0,0,30.1024,5.74944,59.2364,16.148,86.9128,27.5696,
-0.278902,-0.0379889,0,0,30.0885,5.82335,59.1781,16.3599,86.8577,27.7737,
-0.280802,-0.0389886,0,0,30.0793,5.8731,59.139,16.5022,86.8208,27.9109,
-0.282702,-0.0399882,0,0,30.07,5.92172,59.0998,16.644,86.7837,28.0475,
-0.284602,-0.0399881,0,0,30.0563,5.99352,59.0407,16.8566,86.7278,28.2522,
-0.286402,-0.0409878,0,0,30.047,6.04184,59.0011,16.9993,86.6904,28.3897,
-0.288202,-0.0419874,0,0,30.0379,6.08901,58.9613,17.1415,86.6528,28.5266,
-0.290102,-0.0419873,0,0,30.0243,6.15866,58.9015,17.3548,86.5963,28.7318,
-0.291902,-0.042987,0,0,30.0152,6.20553,58.8614,17.4979,86.5584,28.8696,
-0.293802,-0.0439866,0,0,30.006,6.25127,58.821,17.6406,86.5203,29.0069,
-0.295602,-0.0439865,0,0,29.9925,6.31874,58.7604,17.8544,86.463,29.2126,
-0.297402,-0.0449861,0,0,29.9835,6.36419,58.7198,17.9981,86.4247,29.3507,
-0.299302,-0.0449861,0,0,29.8089,6.39424,58.5061,18.1493,86.2138,29.4953,
-0.301102,-0.0459857,0,0,29.327,6.33084,58.0177,18.1061,85.7259,29.4508,
-0.302802,-0.0469853,0,0,29.3169,6.37452,57.9755,18.2496,85.686,29.5888,
-0.304702,-0.0479849,0,0,30.2713,6.78195,57.9334,18.3926,85.6462,29.7262,
-0.306502,-0.0489845,0,0,30.2083,6.99543,57.8704,18.6061,85.5867,29.9312,
-0.307903,-0.0499841,0,0,30.1663,7.13728,57.8284,18.7479,85.5471,30.0673,
-0.309503,-0.0509837,0,0,30.1244,7.27852,57.7327,18.8646,85.5076,30.2028,
-0.311003,-0.0519833,0,0,30.0619,7.489,57.6738,19.0665,85.4487,30.4047,
-0.312503,-0.0519833,0,0,30.0202,7.62886,57.6344,19.2006,85.4094,30.5388,
-0.314003,-0.0529829,0,0,29.9576,7.83902,57.5754,19.4021,85.3941,30.7666,
-0.315303,-0.0539825,0,0,29.9159,7.97825,57.5361,19.5355,85.3527,30.9049,
-0.316903,-0.0549821,0,0,29.8745,8.11688,57.4971,19.6683,85.3117,31.0427,
-0.318403,-0.0569814,0,0,29.8126,8.32285,57.4389,19.8654,85.2503,31.2473,
-0.319703,-0.057981,0,0,29.7717,8.45807,57.4005,19.9947,85.2098,31.3816,
-0.321204,-0.0599802,0,0,29.7312,8.59169,57.3625,20.1223,85.1698,31.5143,
-0.322804,-0.0619795,0,0,29.6713,8.7879,57.3062,20.3095,85.1104,31.7091,
-0.324004,-0.0639788,0,0,29.6319,8.91631,57.2693,20.4319,85.0714,31.8366,
