time_step,RV_id,RV_s,RV_d,RV_speed,HV_s,HV_d,HV_speed,ref_vel,RV_in_HV_lane,RV_in_L0_zone,RV_in_L1_zone,RV_in_L2_zone,lane,state
5,11,6653.45,-280.895,0,124.968,6.16497,0.218451,0.896,0,0,0,0,1,1
6,0,56.3636,6.04501,22.3661,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,1,296.099,6.01596,17.4939,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,2,6716.6,-282.902,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,3,6713.91,-285.727,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,4,6711.57,-288.19,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,5,6661.77,-291.78,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,6,6711.78,-268.096,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,7,6709.3,-270.704,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,8,6663.54,-273.183,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,9,6660.44,-275.551,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,10,6657.74,-277.616,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
6,11,6653.45,-280.895,0,124.998,6.16502,0.225277,1.12,0,0,0,0,1,1
7,0,57.611,6.05632,22.2398,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,1,297.052,6.01959,17.3954,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,2,6716.6,-282.902,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,3,6713.91,-285.727,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,4,6711.57,-288.19,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,5,6661.77,-291.78,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,6,6711.78,-268.096,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,7,6709.3,-270.704,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,8,6663.54,-273.183,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,9,6660.44,-275.551,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,10,6657.74,-277.616,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
7,11,6653.45,-280.895,0,125.034,6.16507,0.225277,1.344,0,0,0,0,1,1
8,0,58.8101,6.06607,22.1178,125.076,6.16513,0.218451,1.568,0,0,0,0,1,1
8,1,298.003,6.0228,17.3004,125.076,6.16513,0.218451,1.568,0,0,0,0,1,1
8,2,85.2104,9.99934,26.1986,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,3,295.721,10.0017,20.8461,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,4,6711.57,-288.19,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,5,6661.77,-291.78,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,6,6711.78,-268.096,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,7,6709.3,-270.704,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,8,6663.54,-273.183,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,9,6660.44,-275.551,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,10,6657.74,-277.616,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
8,11,6653.45,-280.895,0,125.076,6.16513,0.218451,1.568,0,0,0,1,1,1
9,0,60.0138,6.07497,22.0005,125.124,6.16518,0.225277,1.792,0,0,0,0,1,1
9,1,298.951,6.02571,17.209,125.124,6.16518,0.225277,1.792,0,0,0,0,1,1
9,2,86.4405,9.99735,25.8479,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,3,296.666,10.0072,20.5319,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,4,6711.57,-288.19,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,5,6661.77,-291.78,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,6,6711.78,-268.096,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,7,6709.3,-270.704,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,8,6663.54,-273.183,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,9,6660.44,-275.551,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,10,6657.74,-277.616,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
9,11,6653.45,-280.895,0,125.124,6.16518,0.225277,1.792,0,0,0,1,1,1
10,0,61.1888,6.08267,21.8881,125.178,6.16523,0.225277,2.016,0,0,0,0,1,1
10,1,299.898,6.02827,17.1215,125.178,6.16523,0.225277,2.016,0,0,0,0,1,1
10,2,87.3856,9.99547,25.2294,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,3,297.415,10.0124,20.0414,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,4,6711.57,-288.19,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,5,6661.77,-291.78,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,6,6711.78,-268.096,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,7,6709.3,-270.704,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,8,6663.54,-273.183,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,9,6660.44,-275.551,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,10,6657.74,-277.616,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
10,11,6653.45,-280.895,0,125.178,6.16523,0.225277,2.016,0,0,0,1,1,1
11,0,62.3326,6.08905,21.7809,125.238,6.16528,0.218451,2.24,0,0,0,0,1,1
11,1,300.843,6.03037,17.0381,125.238,6.16528,0.218451,2.24,0,0,0,0,1,1
11,2,88.4521,9.9937,24.7729,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,3,298.294,10.0172,19.7132,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,4,6711.57,-288.19,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,5,6661.77,-291.78,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,6,6711.78,-268.096,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,7,6709.3,-270.704,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,8,6663.54,-273.183,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,9,6660.44,-275.551,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,10,6657.74,-277.616,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
11,11,6653.45,-280.895,0,125.238,6.16528,0.218451,2.24,0,0,0,1,1,1
12,0,63.5118,6.09431,21.6792,125.304,6.16533,0.238931,2.464,0,0,0,0,1,1
12,1,301.788,6.03202,16.959,125.304,6.16533,0.238931,2.464,0,0,0,0,1,1
12,2,89.8145,9.99197,24.6464,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,3,299.381,10.0217,19.615,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,4,6711.57,-288.19,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,5,6661.77,-291.78,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,6,6711.78,-268.096,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,7,6709.3,-270.704,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,8,6663.54,-273.183,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,9,6660.44,-275.551,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,10,6657.74,-277.616,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
12,11,6653.45,-280.895,0,125.304,6.16533,0.238931,2.464,0,0,0,1,1,1
13,0,65.1268,6.09849,21.6145,125.376,6.16537,0.225277,2.688,0,0,0,0,1,1
13,1,302.756,6.03294,16.9087,125.376,6.16537,0.225277,2.688,0,0,0,0,1,1
13,2,91.2137,9.99084,24.566,125.376,6.16537,0.225277,2.688,0,0,0,1,1,1
